NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
2	12.7	12.7	.1	12.8	12.6	11.8185	.0694095
1	22.4	22.4		22.4	22.4	20.4497	.087067
2	12.4	12.4	1.4	13.3	11.4	14.45	.1653226
3	18.6	18.4	2.6	20.9	15.7	16.81	.0962366
2	18.1	18.1	6.8	22.9	13.3	3.51	.8060774
1	5.6	5.6		5.6	5.6	-11.11	2.983929
1	9.4	9.4		9.4	9.4	26.53	1.82234
1	24.4	24.4		24.4	24.4	63.49	1.602049
1	3.4	3.4		3.4	3.4	10.8	2.176471
1	16.6	16.6		16.6	16.6	23.79	.4331325
1	148	148		148	148	-12.8904	1.087097
1	5.9	5.9		5.9	5.9	4.8431	.1791356
1	10	10		10	10	19.0413	.90413
1	19.5	19.5		19.5	19.5	21.8075	.1183333
1	37.3	37.3		37.3	37.3	39.8175	.0674933
1	47.4	47.4		47.4	47.4	48.8575	.0307489
4	53.2	52.8	4.2	57.5	47.3	56.335	.0589286
11	68.6	68.7	3.2	75.5	63.9	69.86	.0183673
10	83.5	84.1	5	94.7	76.4	90.4826	.083624
13	94.4	96	3.8	104.9	91.6	95.3453	.0100138
12	93.1	94.8	7.3	108.8	80.6		
1							
1							
1						342	.9097863
1	36.7	36.7		36.7	36.7	11.63	.6831062
1	7.9	7.9		7.9	7.9	2.4175	.6939874
2	9.8	9.8	3	11.9	7.7	8.6275	.1196429
2	11.5	11.5	2	12.9	10.1	10.72	.0678261
3	11.9	11.8	1.1	12.8	10.6	13.79	.1588235
3	1.8	-.4	6.1	4.2	-7.3	-2.5301	2.405611
1	-36.2	-36.2		-36.2	-36.2	-73.86	1.040331
2	-164.6	-164.6	22.1		-180.2	-265.9888	.6159708
2			118.7			-284.24	.2793103
1	-121.5	-121.5		-121.5	-121.5		
3	178.9	184	22	208.1	165.1	219.77	.2284517
6	291.2	292.4	25.1	322.9	265.4	247.33	.1506525
8	236.2	222.1	35.2	262.8	178.3	123.8	.4758679
8	73.5	75.9	13.3	96.5	53	69.56	.0536054
9	168.8	159.7	29.8	183.3	101.3	178.43	.0570498
7	202.6	203.3	6.6	217	197.7	167.2	.1747285
5	53.1	87.3	75.4	168.8	19.3		
2	9.4	9.4	6.5	14	4.8	-5.39	1.573404
2	86.8	86.8	20.5	101.3	72.3	64.02	.2624424
1	36.2	36.2		36.2	36.2	19.4	.4640884
1	14.5	14.5		14.5	14.5	13.71	.0544828
1	106	106		106	106	145.52	.3728302
2	222.3	222.3	10.1	229.4	215.1	234.5103	.0549271
2	190.8	190.8	13.5	200.3	181.2	140.4	.2641509
1	119.2	119.2		119.2	119.2	126.95	.0650168
3	200.3	195.3	44.7	237.3	148.3	212.94	.0631053
4	242.8	244.2	13.8	262.2	228.9	247.08	.0176277
1	8	8		8	8	7.2733	.0908375
1	9.4	9.4		9.4	9.4	11.5133	.2248192
1	15.8	15.8		15.8	15.8	13.84	.1240506
1	13.1	13.1		13.1	13.1	14.58	.1129771
1	18.2	18.2		18.2	18.2	16.05	.1181319
1	20.1	20.1		20.1	20.1	21.05	.0472637
1	23.7	23.7		23.7	23.7	23.73	
3	37.4	36.7	1.6	37.9	34.9	36.78	.0165775
2	40.5	40.5	4.5	43.7	37.4	15.9678	.6057333
4	37.9	37.7	.7	38.3	36.7	30.27	.2013193
1	28.3	28.3		28.3	28.3	26.4172	.06653
1	76.8	76.8		76.8	76.8	62.1099	.1912773
1	58.1	58.1		58.1	58.1	25.11	.5678141
2	91.6	91.6	22.5	107.5	75.7	105.81	.155131
1	110.2	110.2		110.2	110.2	128.35	.1647005
1	149.5	149.5		149.5	149.5	141.19	.0555853
2	119.8	119.8	11.2	127.7	111.9	101.73	.1508347
2	116.1	116.1	11.9	124.5	107.7	107.23	.0763997
2	92.3	92.3	17.8	104.9	79.7	89.55	.0297941
2	147.3	147.3	15.8	158.5	136.2	149.51	.0150034
1	143.3	143.3		143.3	143.3	152.9542	.0673705
1	81.7	81.7		81.7	81.7	82.5544	.0104578
1	92	92		92	92	65.35	.2896739
2	79.4	79.4	5.2	83.1	75.7	53	.3324937
1	103.9	103.9		103.9	103.9	127.74	.2294514
1	133.5	133.5		133.5	133.5	131.89	.0120599
1	163.2	163.2		163.2	163.2	168.21	.0306985
1	178.1	178.1		178.1	178.1	187.39	.0521617
1	210.9	210.9		210.9	210.9	91.82	.5646278
1	77.5	77.5		77.5	77.5	73.2113	.0553381
1	71.3	71.3		71.3	71.3	8.535	.8802945
1	81.6	81.6		81.6	81.6	84.4013	.0343297
3	65.6	64.9	3.1	67.5	61.4	84.8275	.2931021
1	102.4	102.4		102.4	102.4	96.4275	.0583252
1	63	63		63	63	56.29	.1065079
1	106.2	106.2		106.2	106.2	123.6925	.1647128
2	123.9	123.9	13.9	133.7	114	137.38	.1087974
